slug,name,date,dateEnd,dateDisplay,prefecture,region,location,tags,description,url,imageUrl,status
ordinary-garden-hikarudo-2026-07,ORDINARY『GARDEN』,2026-07-03,2026-08-02,2026.07.03-08.02,愛知,東海,ordinary（愛知県稲沢市）,即売会,稲沢市のセレクトショップordinaryで開催される出張植物屋・光堂の初の実店舗販売。パキポディウム・グラキリスやアガベ・チタノタなど珍奇植物が約1ヶ月間並ぶ（火曜定休、11:00-19:00）。,https://www.instagram.com/hikarudo.___/,,upcoming
mollis-exhibit-kinto-2026,MOLLIS EXHIBIT 2026,2026-07-10,2026-08-27,2026.07.10-08.27,東京,関東,KINTO STORE Tokyo（中目黒）,展示会,"KINTOが手がける植物ブランドMOLLISは、MOLLIS EXHIBIT 2026を滋賀・東京の2箇所で開催します。滋賀会場は滋賀県・彦根市のKINTO本社からほど近いKINTO FARM、東京会場は東京・中目黒のKINTO STORE Tokyoです。KINTO FARMにあるMOLLISの自社農園は、今回初めて一般公開を行います。
詳しくはMOLLISのウェブサイトよりご覧ください。[MOLLIS EXHIBIT 2026を滋賀・東京の2箇所で開催]
みなさまのご来場を心よりお待ちしております。",https://kinto.co.jp/blogs/news/mollis-exhibit-2026,https://cdn.shopify.com/s/files/1/0087/4073/2986/files/kinto-mainimage.jpg,upcoming
shokuchu-tokubetsu-tenji-flowercenter-2026-07,食虫植物特別展示,2026-07-18,2026-08-25,2026.07.18-8.25,兵庫,関西,兵庫県立フラワーセンター 大温室,展示会,兵庫県立フラワーセンターの大温室（ラン室・食虫植物室）で開催される夏恒例の食虫植物特別展示。鮮やかな食虫植物をじっくり観察できる。,https://flowercenter.jp/booth_event/3792,https://flowercenter.jp/wp/wp-content/uploads/2019/01/P7229414-1024x768.jpg,upcoming
plants-united-kumamoto-2026-08,PLANTS UNITED 2026,2026-08-01,2026-08-01,2026.08.01,熊本,九州,河原町繊維問屋街 植物天國,即売会,熊本市中央区河原町の繊維問屋街にある植物天國を会場に、1日限りで開かれるポップアップストア。2026年8月1日の12時から18時までで、アガベや塊根植物を扱うショップが集まる。出店はKOBE AGAVE SHOP、EARTHWALK PLANTS、MOVIN PLANTS、主催のPLANTS HEAVENの4組で、スペシャルゲストとしてgene_of_8も加わる。会場の植物天國は普段は毎週土曜の21時から24時までの営業のため、日中に実物を見て買える機会はこうしたポップアップのときに限られる。入場料や整理券についての案内は出ていない。当日の追加情報は主催アカウントで告知される。,https://www.instagram.com/_plantsheaven_/,,upcoming
bizarreplants-outlet-vol5-2026,bizarreplants Outlet vol.5,2026-08-01,2026-08-01,2026.08.01,三重,東海,久居アルスプラザ 2Fカルチャールーム1,即売会,三重県津市の久居アルスプラザ2階カルチャールーム1で開かれるアウトレット販売会の第5回。2026年8月1日の11時から16時まで、7組が出店する。Grizzly Plantsはアガベに加え、カリフォルニア州西海岸の地形をデザインした3Dプリンター鉢と、シリアルナンバー入りで数量限定の新作ソイルスティックを持ち込む。Kevin Plantsはマダガスカル原産の塊根植物を実生と現地球の両方で扱い、パキポディウム・グラキリス、恵比寿大黒、ピグマエヤ、兜丸、オベサ、アデニウム、ステファニアが並ぶ。N forestは自身で胞子培養したビカクシダの子株とビカクフレーム。主催のかいこんにんげんは、アガベの普及種からイラン株、ハイブリッドまで幅広く用意する。ほかに編み物でつくる植物のJ.plants、植物を描く絵画のおずの細道、コーヒーを出すkonitanが出店する。,https://www.instagram.com/kaikon_ningen/,,upcoming
mishou-circle-vol2-2026-08,実生サークル 第2回,2026-08-01,2026-08-02,2026.08.01-02,東京,関東,ギャラリー永谷1,即売会|展示会,吉祥寺のギャラリー永谷1で開かれる実生サークルの第2回。国内実生株の育成に関する情報共有をテーマに、趣味家・生産者・陶芸家が日替わりで参加し、サボテンやユーフォルビアなどの実生株と鉢・陶器を展示販売する。入場はお茶代として500円。,https://www.instagram.com/king.plants.slugger,,upcoming
code-tokyo-popup-2026-08,CODE 単独東京POP UP,2026-08-01,2026-08-02,2026.08.01-02,東京,関東,ANTIDOTE OIMACHI TRACKS,即売会|塊根植物,福岡の塊根植物ブランドCODEによる初の単独東京POP UP。大井町のANTIDOTE OIMACHI TRACKSで、現地球のパキポディウム・グラキリスを中心とした珍奇植物とイベント限定の鉢・グッズを販売する。11時から19時、入場無料。,https://www.instagram.com/_code.official_/,http://static1.squarespace.com/static/5cf380f3c58b7d0001deb2f6/t/643377dd9ae6ab6d6fff8f4a/1681094621380/popap_cover.png?format=1500w,upcoming
gunpari-gpf-kanshasai-2026-08,群パリ GPF感謝祭 2026,2026-08-01,2026-08-01,2026.08.01,群馬,関東,前橋サボテン団地,即売会,群馬のアガベ愛好グループ群パリ（GUNMA PARRY FREAKS）が前橋サボテン団地で開く感謝祭。前半はBBQ、後半は縁日が行われ、サボテン団地のハウスを一部開放して植物販売を実施する。,https://www.instagram.com/p/DaXx4jCSon5/,,upcoming
kanzen-anjo-2026-08,間然（KAN-ZEN）,2026-08-01,2026-08-01,2026.08.01,愛知,東海,アンフォーレ ホール,即売会|塊根植物,オニバス株式会社主催、植物と鉢の展示販売イベント第2回。機能鉢「三州みやび鉢」の限定品と塊根植物を軸に、全国の有名ショップや陶芸作家13組が安城市のアンフォーレ ホールに集結する。テーマは「間（あわい）に然るまま佇む 命の造形」。11時から16時、入場無料・先着入場。,https://www.instagram.com/kanzen.event/,,upcoming
paradise-garage-tomoya-farm-2026-08,Paradise Garage in TOMOYA FARM,2026-08-01,2026-08-02,2026.08.01-02,沖縄,九州,ともや農場ハウス,即売会|マルシェ,沖縄・中城村のいちご狩り農園「ともや農場」のハウスを会場に初開催される植物イベント。Otikiや安美園など県内外の植物出店者が集い、多肉植物やサボテンなどを展示販売する。農園の新たな取り組みとして注目の2日間。,https://www.instagram.com/tomoyafarm/,https://ak-d.tripcdn.com/images/0HJ4c12000itr2dxr4B49.jpg,upcoming
